Matrix,Execution Time MBase,Execution Time pre_elab,Used memory MBase,Used memory pre_elab,Pre elaboration time,Out of Time MBase,Out of Time pre_elab,Rows,Columns
74L85.002,0.5,0.13,56.67,57.57,0.0,False,False,5,33
74L85.017,0.55,0.3,56.5,56.77,0.0,False,False,5,33
74L85.018,0.61,0.39,56.48,56.75,0.0,False,False,5,33
74L85.021,0.77,0.58,56.81,57.04,0.0,False,False,4,33
74L85.027,0.5,0.28,56.5,56.76,0.0,False,False,5,33
74181.010,8.8,3.08,57.19,57.4,0.02,False,False,7,65
74181.018,10.72,0.94,57.42,57.63,0.0,False,False,7,65
74181.020,72.32,36.61,66.07,66.37,0.0,False,False,12,65
74181.025,111.0,56.85,74.63,74.63,0.0,False,False,10,65
74181.032,300.0,300.0,403.46,403.46,0.02,True,True,42,65
74181.043,300.0,300.0,317.4,317.4,0.0,True,True,9,65
74181.053,300.0,300.0,472.77,472.77,0.04,True,True,35,65
74283.029,38.64,34.97,63.13,63.52,0.0,False,False,15,36
c432.010,300.0,300.0,157.0,164.0,0.03,True,True,10,160
c432.044,300.0,300.0,425.0,553.0,0.07,True,True,35,160
c1355.039,300.0,300.0,132.0,344.0,0.06,True,True,5,546
c1908.001,6.78,0.31,57.62,57.98,0.16,False,False,2,880
c2670.035,300.0,10.87,61.39,61.86,0.2,True,False,6,1193
c5315.055,300.0,300.0,124.0,686.0,0.37,True,True,22,2307
c5315.082,300.0,300.0,218.0,767.0,0.43,True,True,26,2307
c5315.091,300.0,300.0,217.0,695.0,0.64,True,True,36,2307
c5315.153,300.0,300.0,138.0,663.0,0.57,True,True,27,2307
c5315.189,300.0,300.0,188.0,788.0,0.53,True,True,33,2307
c7552.001,300.0,300.0,93.0,249.0,0.62,True,True,6,3512
c7552.003,300.0,300.0,112.0,414.0,0.61,True,True,11,3512
c7552.005,2.79,0.69,62.8,63.8,0.69,False,False,1,3512
c7552.014,300.0,18.0,64.3,65.44,0.65,True,False,4,3512
c7552.030,300.0,300.0,151.0,625.0,0.61,True,True,17,3512
74L85.015,2.3,1.3,57.13,58.1,0.0,False,False,6,33
74L85.005,0.03,0.0,56.29,57.32,0.0,False,False,1,33
74L85.001,0.2,0.12,56.46,57.49,0.0,False,False,4,33
